Province/State,Country name,Lat,Long,12/31/2020
Henan,China,37.8957,114.9042,22
Hong Kong,China,22.3,114.2,148
Hubei,China,30.9756,112.2707,4512
Hunan,China,27.6104,111.7088,4
Inner Mongolia,China,44.0935,113.9448,1
Jiangsu,China,32.9711,119.455,0
Jiangxi,China,27.614,115.7221,1
Jilin,China,43.6661,126.1923,2
Liaoning,China,41.2956,122.6085,2
Macau,China,22.1667,113.55,0
Ningxia,China,37.2692,106.1655,0
Qinghai,China,35.7452,95.9956,0
Shaanxi,China,35.1917,108.8701,3
Shandong,China,36.3427,118.1498,7
Shanghai,China,31.202,121.4491,7
Shanxi,China,37.5777,112.2922,0
Sichuan,China,30.6171,102.7103,3
Tianjin,China,39.3054,117.323,3
Tibet,China,31.6927,88.0924,0
Unknown,China,,,99
Xinjiang,China,41.1129,85.2401,3
Yunnan,China,24.974,101.487,2
Zhejiang,China,29.1832,120.0934,1
,Colombia,4.5709,-74.2973,43213
,Comoros,-11.6455,43.3333,10
,Congo (Brazzaville),-0.228,15.8277,108
,Congo (Kinshasa),-4.0383,21.7587,591
,Costa Rica,9.7489,-83.7534,2185
,Cote d'Ivoire,7.54,-5.5471,137
,Croatia,45.1,15.2,3920
,Cuba,21.521757,-77.781167,146
,Cyprus,35.1264,33.4299,120
,Czechia,49.8175,15.473,11580
Faroe Islands,Denmark,61.8926,-6.9118,0
Greenland,Denmark,71.7069,-42.6043,0
,Denmark,56.2639,9.5018,1298
,Diamond Princess,0,0,13
,Djibouti,11.8251,42.5903,61
,Dominica,15.415,-61.371,0
,Dominican Republic,18.7357,-70.1627,2414
,Ecuador,-1.8312,-78.1834,14034
,Egypt,26.820553,30.802498,7631
,El Salvador,13.7942,-88.8965,1327
,Equatorial Guinea,1.6508,10.2679,86
,Eritrea,15.1794,39.7823,3
,Estonia,58.5953,25.0136,229
,Eswatini,-26.5225,31.4659,205
,Ethiopia,9.145,40.4897,1923
,Fiji,-17.7134,178.065,2
,Finland,61.92411,25.748151,592
French Guiana,France,3.9339,-53.1258,71
French Polynesia,France,-17.6797,149.4068,114
Guadeloupe,France,16.265,-61.551,155
Martinique,France,14.6415,-61.0242,42
Mayotte,France,-12.8275,45.166244,55
New Caledonia,France,-20.904305,165.618042,0
Reunion,France,-21.1151,55.5364,42
Saint Barthelemy,France,17.9,-62.8333,0
Saint Pierre and Miquelon,France,46.8852,-56.3159,0
St Martin,France,18.0708,-63.0501,12
Wallis and Futuna,France,-14.2938,-178.1165,0
,France,46.2276,2.2137,64267
,Gabon,-0.8037,11.6094,64
,Gambia,13.4432,-15.3101,124
,Georgia,42.3154,43.3569,2505
,Germany,51.165691,10.451526,33071
,Ghana,7.9465,-1.0232,335
,Greece,39.0742,21.8243,4838
,Grenada,12.1165,-61.679,0
,Guatemala,15.7835,-90.2308,4813
,Guinea,9.9456,-9.6966,81
,Guinea-Bissau,11.8037,-15.1804,45
,Guyana,4.860416,-58.93018,164
,Haiti,18.9712,-72.2852,236
,Holy See,41.9029,12.4534,0
,Honduras,15.2,-86.2419,3130
,Hungary,47.1625,19.5033,9537
,Iceland,64.9631,-19.0208,29
,India,20.593684,78.96288,148994
,Indonesia,-0.7893,113.9213,22138
,Iran,32.427908,53.688046,55223
,Iraq,33.223191,43.679291,12813
,Ireland,53.1424,-7.6921,2237
,Israel,31.046051,34.851612,3325
,Italy,41.87194,12.56738,74159
,Jamaica,18.1096,-77.2975,302
,Japan,36.204824,138.252924,3492
,Jordan,31.24,36.51,3834
,Kazakhstan,48.0196,66.9237,2749
,Kenya,-0.0236,37.9062,1670
,Kiribati,-3.3704,-168.734,0
,"Korea, North",40.3399,127.5101,0
,"Korea, South",35.907757,127.766922,917
,Kosovo,42.602636,20.902977,1332
,Kuwait,29.31166,47.481766,934
,Kyrgyzstan,41.20438,74.766098,1355
,Laos,19.85627,102.495496,0
,Latvia,56.8796,24.6032,635
,Lebanon,33.8547,35.8623,1468
,Lesotho,-29.61,28.2336,51
,Liberia,6.428055,-9.429499,83
,Libya,26.3351,17.228331,1478
,Liechtenstein,47.14,9.55,44
,Lithuania,55.1694,23.8813,1800
,Luxembourg,49.8153,6.1296,495
,MS Zaandam,0,0,2
,Madagascar,-18.766947,46.869107,261
,Malawi,-13.2543,34.3015,189
,Malaysia,4.210484,101.975766,471
,Maldives,3.2028,73.2207,48
,Mali,17.570692,-3.996166,269
,Malta,35.9375,14.3754,219
,Marshall Islands,7.1315,171.1845,0
,Mauritania,21.0079,-10.9408,347
,Mauritius,-20.348404,57.552152,10
,Mexico,23.6345,-102.5528,125807
,Micronesia,7.4256,150.5508,0
,Moldova,47.4116,28.3699,2985
,Monaco,43.7333,7.4167,3
,Mongolia,46.8625,103.8467,1
,Montenegro,42.708678,19.37439,682
,Morocco,31.7917,-7.0926,7388
,Mozambique,-18.665695,35.529562,166
,Namibia,-22.9576,18.4904,205
,Nauru,-0.5228,166.9315,0
,Nepal,28.1667,84.25,1856
Aruba,Netherlands,12.5211,-69.9683,49
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,3
Curacao,Netherlands,12.1696,-68.99,14
Sint Maarten,Netherlands,18.0425,-63.0548,27
,Netherlands,52.1326,5.2913,11432
Cook Islands,New Zealand,-21.2367,-159.7777,0
Niue,New Zealand,-19.0544,-169.8672,0
,New Zealand,-40.9006,174.886,26
,Nicaragua,12.865416,-85.207229,165
,Niger,17.607789,8.081666,104
,Nigeria,9.082,8.6753,1289
,North Macedonia,41.6086,21.7453,2503
,Norway,60.472,8.4689,436
,Oman,21.512583,55.923255,1499
,Pakistan,30.3753,69.3451,10176
,Palau,7.515,134.5825,0
,Panama,8.538,-80.7821,4022
,Papua New Guinea,-6.314993,143.95555,9
,Paraguay,-23.4425,-58.4438,2262
,Peru,-9.19,-75.0152,93070
,Philippines,12.879721,121.774017,9244
,Poland,51.9194,19.1451,28554
,Portugal,39.3999,-8.2245,6906
,Qatar,25.3548,51.1839,245
,Romania,45.9432,24.9668,15767
,Russia,61.52401,105.318756,56271
,Rwanda,-1.9403,29.8739,92
,Saint Kitts and Nevis,17.357822,-62.782998,0
,Saint Lucia,13.9094,-60.9789,5
,Saint Vincent and the Grenadines,12.9843,-61.2872,0
,Samoa,-13.759,-172.1046,0
,San Marino,43.9424,12.4578,59
,Sao Tome and Principe,0.1864,6.6131,17
,Saudi Arabia,23.885942,45.079162,6223
,Senegal,14.4974,-14.4524,410
,Serbia,44.0165,21.0059,3211
,Seychelles,-4.6796,55.492,0
,Sierra Leone,8.460555,-11.779889,76
,Singapore,1.2833,103.8333,29
,Slovakia,48.669,19.699,2138
,Slovenia,46.1512,14.9955,2697
,Solomon Islands,-9.6457,160.1562,0
,Somalia,5.152149,46.199616,130
,South Africa,-30.5595,22.9375,28469
,South Sudan,6.877,31.307,63
,Spain,40.463667,-3.74922,50837
,Sri Lanka,7.873054,80.771797,204
,Sudan,12.8628,30.2176,1468
,Summer Olympics 2020,35.6491,139.7737,0
,Suriname,3.9193,-56.0278,122
,Sweden,60.128161,18.643501,8727
,Switzerland,46.8182,8.2275,7873
,Syria,34.802075,38.996815,711
,Taiwan*,23.7,121,7
,Tajikistan,38.861,71.2761,90
,Tanzania,-6.369028,34.888822,21
,Thailand,15.870032,100.992541,61
,Timor-Leste,-8.874217,125.727539,0
,Togo,8.6195,0.8248,68
,Tonga,-21.179,-175.1982,0
,Trinidad and Tobago,10.6918,-61.2225,127
,Tunisia,33.886917,9.537499,4676
,Turkey,38.9637,35.2433,20881
,Tuvalu,-7.1095,177.6493,0
,US,40,-100,350604
,Uganda,1.373333,32.290275,251
,Ukraine,48.3794,31.1656,19281
,United Arab Emirates,23.424076,53.847818,669
Anguilla,United Kingdom,18.2206,-63.0686,0
Bermuda,United Kingdom,32.3078,-64.7505,10
British Virgin Islands,United Kingdom,18.4207,-64.64,1
Cayman Islands,United Kingdom,19.3133,-81.2546,2
Channel Islands,United Kingdom,49.3723,-2.3644,0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0
Gibraltar,United Kingdom,36.1408,-5.3536,7
Guernsey,United Kingdom,49.448196,-2.58949,16
Isle of Man,United Kingdom,54.2361,-4.5481,25
Jersey,United Kingdom,49.2138,-2.1358,41
Montserrat,United Kingdom,16.742498,-62.187366,1
Pitcairn Islands,United Kingdom,-24.3768,-128.3242,0
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,0
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,6
,United Kingdom,55.3781,-3.436,94998
,Uruguay,-32.5228,-55.7658,181
,Uzbekistan,41.377491,64.585262,614
,Vanuatu,-15.3767,166.9592,0
,Venezuela,6.4238,-66.5897,1028
,Vietnam,14.058324,108.277199,35
,West Bank and Gaza,31.9522,35.2332,1400
,Winter Olympics 2022,39.9042,116.4074,0
,Yemen,15.552727,48.516388,610
,Zambia,-13.133897,27.849332,388
,Zimbabwe,-19.015438,29.154857,363
